baseline_presacc_mean,baseline_presacc_STD,baseline_presacc_raw_mean,baseline_presacc_raw_STD,max_visual,mean_visual,max_memory,mean_memory,max_visual_raw,mean_visual_raw,max_raw_memory,mean_memory_raw,Visual_response_STDFromMean,memRespSTDfromMean,above_mean+SD_visual_response,above_mean+SD_memory_response,last_baseline_mean,first_memory_mean,TaskType,baseline_max_raw,visual_response_strength,memory_response_strength,memory_presacc_raw_mean,visual_presacc_raw_mean,baseline_raw_mean,memory_latency,visual_latency,memory_raw_latency,visual_raw_latency,visual_vs_memory_ttest,baseline_vs_memory_ttest,baseline_presacc_max,baseline_max,memory_presacc_max,memory_max,visual_presacc_max,visual_max,baseline_presacc_mean_narrow,baseline_mean,memory_presacc_mean_narrow,memory_mean_narrow,visual_presacc_mean_narrow,visual_mean_narrow,visual_vs_memory_ranksum,memory_response_BC,baseline_presacc_max_raw,memory_presacc_max_raw,baseline_presacc_max_narrow,baseline_max_narrow,memory_presacc_mean_psth,memory_mean_narrow,visual_presacc_mean_narrow,visual_mean_narrow,visual_vs_memory_ttest_from_mean,visual_vs_baseline_ttest,memory_vs_baseline_ttest,visual_vs_memory_ztest,visual_vs_baseline_ztest,memory_vs_baseline_ztest,visual_vs_memory_ttest_h,visual_vs_baseline_ttest_h,memory_vs_baseline_ttest_h,memory_vs_presacc_baseline_ztest,last_baseline_max,first_memory_max,last_baseline_median,first_memory_median,baseline_presacc_median,baseline_median,memory_presacc_median,memory_median,visual_presacc_median,visual_median,memory_vs_baseline_median_ztest,memory_vs_baseline_median_kstest,baseline_modulation_perisacc_max_ranksum,memory_vs_baseline_median_ztest2,baseline_modulation_median,median_visual_response_BC,baseline_modulation_median_gauss,visual_response_median_gauss_BC,memory_response_gauss_mean_BC,memory_response_gauss_max_BC,memory_response_gauss_median_BC,baseline_presacc_gauss_mean,baseline_gauss_mean,baseline_presacc_gauss_mean_narrow,baseline_gauss_mean_narrow,visual_presacc_gauss_mean_narrow,visual_gauss_mean_narrow,baseline_presacc_gauss_max,baseline_gauss_max,memory_presacc_gauss_max,memory_gauss_max,visual_presacc_gauss_mean,visual_gauss_mean,baseline_presacc_gauss_median,baseline_gauss_median,memory_presacc_gauss_median,memory_gauss_median,visual_presacc_gauss_median,visual_gauss_median,baseline_narrow_gauss_mean,memory_narrow_gauss_mean,visual_narrow_gauss_mean,baseline_narrow_gauss_max,memory_narrow_gauss_max,visual_narrow_gauss_max,baseline_narrow_gauss_median,memory_narrow_gauss_median,visual_narrow_gauss_median,memory_gauss_mean_BC,memory_response_gauss_max_BC2,memory_response_gauss_median_BC_narrow,visual_response_gauss_mean_narrow_BC,visual_response_gauss_max_narrow_BC,visual_vs_baseline_gauss_median_narrow,visual_response_mean3_BC,memory_1st_vs_4th_Q_max_ranksum,visual_1st_vs_4th_Q_max_ranksum,new_saccade_baseline_max_ranksum,visual_geomean,visual_geomean_BC,memory_median_latency,visual_median_latency,visual_vs_base_median_p,memory_latency_in_50ms_of_max,visual_latency_in_50ms_of_max,memory_latency_sliding_ranksum,visual_latency_sliding_ranksum,memory_latency_sliding_above_baseline,visual_latency_sliding_above_baseline,memory_latency2,visual_latency2,baseline_presacc_spike_median,baseline_spike_median,memory_presacc_spike_median,memory_spike_median,visual_presacc_spike_median,visual_spike_median,baseline_modulation_spike_median,memory_response_spike_median_BC,visual_response_spike_median_BC,visual_response_spike_median ,memory_response_strength_vs_2D_baseline,memory_response_2D_mean_BC,memory_response_2D_median_BC,early_baseline_mean,early_baseline_max,early_baseline_median,last_memory_mean,last_few_memory_mean,last_memory_max,last_few_memory_max,last_memory_median,last_few_memory_median,visual_modulation_max_perisaccadic,baseline_presacc_median_raw2,baseline_median_raw2,memory_presacc_median_raw2,memory_median_raw2,visual_presacc_median_raw2,visual_median_raw2,baseline_modulation_mean,baseline_modulation_median_ranksum,baseline_presacc_narrowwindow_median,baseline_narrowwindow_median,baseline_presacc_narrowwindow_mean,baseline_narrowwindow_mean,baseline_presacc_narrowwindow_max,baseline_narrowwindow_max,visual_median_narrow,visual_presacc_mean_narrow,visual_mean_narrow,visual_presacc_narrowwindow_max,visual_narrowwindow_max,memory_narrowwindow_median,memory_presacc_narrowwindow_mean,memory_narrowwindow_mean,memory_presacc_narrowwindow_max_narrow,memory_narrowwindow_max,baseline_modulation_perisacc_median_narrow_window,baseline_modulation_perisacc_mean_narrow_window,baseline_modulation_max_perisacc_narrow,visual_modulation_median,visual_modulation_mean_narrow,visual_modulation_perisacc_max,visual_median_BC,visual_response_mean5_BC,visual_response_peak_BC,memory_vs_base_median_p,memory_response_spike_mean_narrow_BC,memory_response_peak_BC,baseline_median_perisaccadic_modulation,baseline_mean_perisaccadic_modulation,baseline__modulation_perisacc_max,visual_median_perisaccadic_modulation2,visual_mean_perisaccadic_modulation,baseline_pre_vs_eyepos_median,baseline_pre_vs_eyepos_mean,baseline_pre_vs_eyepos_max,baseline_modulation_max,mem_vs_vis_indices,memory_pre_vs_post_sacc,baseline_VS_memory_mean_Indices,pre_vs_post_baseline_mean_indices,subject
0.001,1,3.4396,3.0396,26.712,4.1077,2.4535,0.001,36.364,27.273,5.3929,1.4413,26.712,2.4525,1,0,4.9505,4.9505,3,9.7403,7.78E-05,0.79072,2.3723,0.9901,2.5587,144,-124,1,-101,8.86E-12,0.43406,35.714,47.619,25.424,40.49,11.111,133.33,3.5361,6.0113,2.5172,4.214,0.9901,14.191,2.57E-07,0.82448,9.7403,5.3929,35.714,35.714,16.949,16.949,20,80,5.77E-11,4.20E-09,0.11719,-5.0207,-5.5139,0.93257,1,1,0,-0.66093,55.556,55.556,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0.010429,0.43053,0.35613,0.75571,3.5053,2.017,2.4706,1.9746,0.99254,13.152,25.575,11.652,18.014,14.47,7.3562,84.298,0.042518,0.46868,0.083148,0.059418,0,1.3901,2.1839,2.7315,14.152,8.9868,10.229,58.579,1.1947,1.2234,4.5006,0.49644,0.46079,0.45964,0.00010265,5.24E-05,0.0092557,9.59E-05,1,1,3456,0,1,-124,-124,1,3333,-73,12,-59,-45,52,144,-73,0,2,0,1,0,3,0.0021978,0.99273,5.74E-06,2.85E-08,0.42821,0.359,1,8.9109,55.556,0,0,4.9505,0,33.333,0,0,2.17E-08,3.2468,3.2468,2.3112,1.5408,0,3.6364,0.23463,1,0,0,3.1124,10.349,19.841,47.619,0,1.5686,25.752,8.8889,133.33,0,1.8463,7.4406,12.241,39.548,1,0.0047775,0.021098,1,9.93E-09,1.06E-08,1,0.00088711,0.00033154,1,0.87286,0.81837,1,0.15859,0.46955,1,1.75E-08,1,0.76642,0.72421,0.31049,0.53413,0.22857,-0.080916,0.14286,1
1.54E-17,1,1.1843,2.1828,20.207,3.5378,10.395,0.92979,20.455,19.318,15.949,3.0657,14.378,10.395,1,1,9.901,9.901,3,19.139,1.18E-05,0.8244,1.8002,0.24752,2.8756,254,22,465,5,0.67909,0.385,8.7719,87.719,20.468,74.074,2.7778,80.556,1.0422,8.3377,1.9397,7.971,0.24752,8.1683,0.43137,0.70594,7.177,5.5821,52.632,52.632,17.544,26.316,25,75,0.91103,4.49E-06,0.83051,-0.17289,-4.6522,0.54155,0,1,0,-4.5193,111.11,111.11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.34345,0.081293,0.71763,0.73081,1,1.0874,2.8264,1.9481,1.1608,0.24683,4.0823,7.4698,22.972,14.184,10.283,1.9947,27.442,0.16524,0,0.054581,0,0,0.29739,4.0461,0.71554,5.7345,16.766,4.2878,21.673,0.54658,0.07539,2.2587,0.91198,0.92049,0.81414,0.0019797,0.0020425,0.033665,1.41E-05,1,1,3456,0,1,254,-64,1,3333,4445,154,52,158,106,254,22,0,2,0,2,0,1,4.25E-07,0.24341,4.71E-06,2.97E-06,0.3577,0.59663,1,11.881,122.22,0,14.851,12.541,166.67,111.11,0,0,1.58E-06,0,0,1.5949,1.5949,0,2.2727,5.33E-06,1,0,0,1.548,15.48,8.7719,87.719,0,0.4902,14.325,2.7778,80.556,0,1.3569,14.142,9.7466,73.099,1,3.91E-06,3.91E-06,1,1.63E-06,1.58E-06,1,0.59822,0.65999,1,0.74672,0.83961,1,0.0015931,0.0014503,1,1.64E-06,1,0.19611,0.19568,3.91E-06,0.041916,0.56701,-0.084337,0.81818,1
1.10E-15,1,13.075,5.2366,9.2776,3.1201,5.5501,0.24958,61.364,59.091,36.834,15.736,9.2766,5.5501,1,1,14.851,14.851,3,59.809,1.22E-06,0.20624,14.743,7.5833,17.04,248,20,680,-101,0.03247,0.41288,78.947,160.82,95.785,176.25,52.778,216.67,12.709,27.474,14.766,26.991,7.5083,35.864,0.0011405,0.80269,26.316,21.944,78.947,52.632,51.724,51.724,100,125,0.015284,6.02E-11,0.89416,-3.051,-5.0886,0.85128,1,1,0,-3.488,111.11,111.11,0,0,0,5.848,1.9157,2.8736,0,0,0.83045,0.79686,1,0.14864,0.0090328,1,0.27582,0.0020518,0.73449,0.74376,0.63157,12.91,14.413,14.759,13.8,7.5726,27.75,54.006,73.562,68.77,69.264,40.075,114.79,6.987,3.3913,6.1921,4.983,3.0047,12.502,17.766,15.646,25.138,54.359,51.229,82.126,10.586,9.5505,14.892,0.72345,0.7028,0.74579,0.00035405,0.0010859,0.00050021,5.35E-06,5.71E-21,1,3456,0,1,-124,20,0.93412,3333,-123,-40,31,-26,33,248,20,0,5.5,0,5,0,5,9.89E-07,0.70654,2.56E-07,9.89E-08,0.41248,0.40121,0.42211,37.624,222.22,22.222,19.802,31.133,222.22,211.11,0,11.111,8.85E-08,11.962,14.354,14.89,14.89,6.8182,25,0.0012299,0.16272,0,17.544,10.779,40.993,61.404,160.82,19.444,6.2092,51.688,33.333,216.67,17.241,13.955,42.991,63.218,175.29,0.0090328,3.06E-06,1.26E-05,0.0021472,4.13E-08,3.72E-08,0.41824,0.02774,0.0022609,0.55908,0.54243,0.23382,1,0.4733,0.031688,1,1.80E-07,1,0.60732,0.92729,0.00040332,0.10288,0.29577,0.045767,0.34146,1
1.85E-16,0.78877,0.78758,0.78877,10.923,1.5259,2.4145,0.0063393,11.057,9.4185,2.886,0.47782,4.2007,1.2667,1,1,0,0,3,7.2314,1.61E-06,0.99999,0.47148,0.1338,1.8403,260,44,1,233,0.00010039,4.61E-05,8.8384,44.192,6.1728,14.991,1.5015,43.544,0.78758,4.7755,0.48894,1.3358,0.1338,4.1477,1.38E-05,0.99999,3.0992,1.443,11.364,22.727,7.9365,7.9365,13.514,27.027,3.70E-05,2.02E-08,3.09E-05,-4.1918,-5.56,4.3297,1,1,1,-1.1259,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0.99733,0.99745,1,0.78574,1.1729,0.49123,0.43492,0.13354,1.7475,6.157,10.204,4.3576,3.7931,1.0782,17.863,0,0,0,0,0,0,1.1226,0.78355,1.3871,4.7887,3.1599,6.989,0.15935,0.14058,0.094748,0.98104,0.98082,0.69395,0.012999,0.012337,0.080047,1.28E-06,1,1,3456,0,1,266,44,1,3333,4445,3452,-75,74,-88,260,44,0,1,0,1,0,1,2.64E-13,0.93518,1.47E-11,4.04E-10,2.50E-05,1.54E-05,1,6.1606,66.667,0,0,0,0,0,0,0,1.27E-08,1.0331,1.0331,0.7215,0,0,1.2285,1.83E-06,1,0,0,0.86651,8.5908,5.0505,42.929,0,0.058882,7.3897,1.5015,42.042,0,0.62247,2.6455,3.5273,14.991,1,8.74E-08,1.62E-07,1,7.91E-09,1.22E-08,1,0.53696,0.50841,1,0.99998,0.99997,1,0.091089,0.049327,1,1.35E-08,1,0.093326,0.10111,2.19E-06,0.48779,0.41667,-0.4934,0.66667,1
1.69E-15,1,15.823,4.7045,19.046,5.2368,7.5883,1.3716,25.641,23.116,15.909,6.1017,19.045,7.5873,1,1,14.851,14.851,3,49.587,0.15388,1,3.9379,1.6617,18.547,136,154,1,1500,0.78821,2.15E-07,103.54,164.14,37.778,102.22,15.67,105.41,15.989,26.24,4.0209,12.151,1.7207,14.033,0.096062,1,25.826,8.1818,45.455,79.545,20,15,12.821,64.103,0.30421,8.91E-11,1.64E-12,-1.3043,-6.6432,6.8098,0,1,1,1.8251,111.11,111.11,0,0,2.5253,1.2626,0,0,0,1.4245,1.5226,0.93607,1,4.6669,0.0019117,0.6893,0.64243,0.010389,1,1,1,15.963,14.75,4.0292,4.339,1.7594,7.3767,71.425,70.065,27.844,28.079,12.707,46.538,5.9215,5.812,0.17863,0.41709,0.089889,0.87495,13.498,4.2827,5.4716,46.201,19.254,22.022,7.7094,0.91934,1.8898,1,1,1,5.90E-05,7.09E-05,0.0013208,0.65201,1,1,3456,0,1,136,154,0.47261,3333,-7,100,3452,69,36,136,154,0,4,0,1,0,1,3.44E-14,0.99988,4.48E-11,4.46E-10,7.49E-08,1.01E-11,0.13557,25.633,155.56,0,0,10.891,0,88.889,0,0,8.15E-12,15.496,15.496,3.6364,5.9091,2.331,6.993,2.11E-06,0.56812,2.5253,17.677,14.731,41.221,71.97,164.14,4.2735,1.0614,23.211,8.547,105.41,1.6667,3.8344,20.37,21.667,101.67,0.0019117,3.40E-10,2.12E-09,0.04093,4.68E-14,3.50E-13,0.99425,1,1,1,1,1,0.15965,0.91684,0.088777,0.16494,1.53E-11,0.24352,0.073708,0.30063,6.65E-06,0.015368,0.46032,-0.23246,0.22642,1
1.77E-15,1,9.0252,3.5835,17.456,3.1677,2.8359,0.001,74.279,62.639,24.014,13.547,17.456,2.8349,1,1,22.002,22.002,3,38.084,3.67E-10,0.47313,13.981,10.527,14.775,172,-124,229,-39,0.00368,0.88442,69.069,130.63,84.382,132.08,79.946,159.89,8.8157,22.166,13.855,20.99,10.639,32.815,5.74E-08,0.8568,18.428,21.441,54.054,40.541,37.736,37.736,48.78,97.561,5.83E-09,1.32E-14,0.50999,-5.3016,-7.004,1.0661,1,1,0,-6.2062,166.67,166.67,0,0,0,0,1.0482,2.0964,0,12.195,-1.1862,0.11776,1,0.63134,0.0030309,0.0013431,0.0067246,7.32E-07,0.34672,0.16722,0.53824,8.8423,13.339,13.814,14.703,10.615,28.59,48.462,52.989,59.299,62.635,56.049,102.71,1.4499,6.9846,6.1609,7.0696,2.3948,17.741,13.081,13.701,26.922,40.086,42.386,75.22,9.3034,9.288,20.205,0.51013,0.52992,0.61818,1.01E-06,1.39E-05,7.04E-06,3.64E-13,1,2.34E-10,3456,0,1,-124,-124,0.0013431,-37,-123,-14,-59,26,-33,172,-59,0,4,0,4,0,7,5.21E-12,0.16417,2.20E-13,2.55E-14,0.94626,0.28848,0.23553,20.132,111.11,0,19.802,23.652,111.11,155.56,0,0,1.11E-09,9.828,14.742,14.151,14.151,9.9778,18.847,1.94E-08,1,0,12.012,11.482,30.648,60.06,129.13,27.1,9.9899,44.29,55.556,159.89,9.434,15.826,30.984,67.086,131.03,0.0030309,2.20E-09,7.87E-08,2.20E-06,3.69E-13,2.12E-11,0.010397,3.69E-05,0.00067144,0.73609,0.6857,0.45222,1,0.027162,0.019354,0.00081204,1.24E-12,0.16009,7.16E-05,0.0018413,8.91E-07,0.095271,0.22034,0.0054998,0.30827,1
0.001,0,0.001,0.001,6.4935,0.70956,6.734,0.91979,6.4935,6.4935,6.734,0.91979,0,0,0,0,0,0,3,0.001,0.15909,0.057855,0.001,0.001,1,148,82,192,256,0.95583,0.17033,0,0,0,24.691,0,23.81,0,0,0,2.3836,0,2.1216,0.46032,0.058773,0,0,0,0,0,18.519,0,71.429,0.86299,0.055405,0.16858,-0.099625,1,-1.5652,0,0,0,-1.5652,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0.28894,0.28894,1,0,0,0,0.16664,0.015023,0.28437,0,0,0,1.5825,0.62834,5.4484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.15909,1,0.05,3456,0,1,148,82,1,3333,4445,3452,3452,6125,6125,148,82,0,0,0,1,0,1,1,0.28571,0.017857,0.0083333,0.11571,0.11755,1,0,0,0,4.9505,3.9604,55.556,33.333,0,0,0.096154,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.2017,0,23.81,0,0,4.4783,0,24.691,1,1,1,1,0.096154,0.096154,1,0.15909,0.15909,1,0.058773,0.057855,1,1,1,1,0.096154,1,1,1,1,-0.018182,1,1,NaN,1
0.001,1,6.4438,3.0265,5.4922,0.20883,10.404,3.3477,28.139,20.563,26.152,14.022,5.4922,10.404,1,1,9.901,22.002,3,28.926,4.24E-05,0.28779,8.2673,9.0652,12.404,-92,156,129,269,0.54188,0.52745,55.556,103.54,57.078,108.83,55.556,103.17,6.6007,17.402,8.2358,19.327,9.089,13.83,0.9957,0.24339,14.463,12.453,68.182,68.182,27.397,41.096,47.619,95.238,0.010298,0.020202,0.36817,2.6279,-2.167,-0.69543,1,1,0,-5.7459,111.11,111.11,0,0,0,0,0,3.0441,0,0,-1.1032,0.13497,1,-1.3322,0.16198,1,0.06862,0.74054,0.033524,0.091902,0.10584,6.6419,10.23,8.2464,13.84,9.0403,7.8162,39.178,45.591,40.718,55.497,40.64,40.071,1.1738,3.5732,2.1397,6.459,3.9361,1.7077,12.845,14.018,7.32,37.089,45.385,29.401,7.8099,8.1384,2.5894,0.41268,0.084451,0.64682,0.66789,0.42855,0.83,4.14E-05,1,1,3456,0,1,-92,-124,1,-13,4445,-10,48,-4,45,-4,156,0,3,0,4,0,3,2.44E-08,0.37686,1.25E-07,3.89E-07,0.57558,0.48679,0.26993,20.572,111.11,0,30.803,20.902,166.67,122.22,0,0,0.00025417,6.1983,12.397,8.0946,12.453,8.658,8.658,3.41E-06,1,0,5.0505,7.6253,23.569,40.404,103.54,0,9.1296,20.593,42.328,100.53,12.177,9.013,27.621,41.096,108.83,0.16198,9.08E-07,2.87E-07,0.92866,0.00058546,8.16E-05,0.92389,0.87575,0.73263,0.0914,0.12518,0.28779,1,0.00018561,0.00035956,1,0.015119,1,0.069953,1,6.75E-06,-0.026667,0.31193,0.024923,0.30159,1
0.001,1,16.288,5.5721,4.1023,0.4613,11.717,1.0347,34.091,28.03,29.857,12.222,4.1013,11.716,1,1,19.802,19.802,3,50.699,8.42E-06,0.95301,10.514,13.288,17.315,126,170,1,476,0.14826,0.094916,81.197,132.48,63.181,113.29,77.778,126.39,16.205,22.362,10.57,18.206,13.655,23.446,0.001685,0.9623,29.72,14.26,76.923,76.923,39.216,29.412,62.5,62.5,0.0049788,2.17E-06,0.056464,-2.9318,-4.6007,1.778,1,1,0,-0.54966,166.67,166.67,0,0,0,4.2735,0,1.0893,0,6.9444,1.5034,0.93363,1,-0.26736,0.041178,0.0324,0.54468,0.061266,0.99987,0.99317,0.99999,16.202,17.67,10.486,10.067,13.467,19.479,55.529,60.206,44.437,47.17,53.886,68.78,9.4596,11.976,4.1991,3.0713,7.0624,11.406,16.809,10.433,19.286,47.955,36.911,54.172,11.365,4.8991,13.991,0.9973,0.97178,0.99844,0.011509,0.0038365,0.095258,0.0034657,1,1,3456,0,1,126,-124,0.27333,3333,-95,-37,-40,12,30,126,170,0,4,0,3,0,4,6.06E-08,0.99928,6.62E-08,2.00E-10,0.095249,0.076376,0.13788,26.953,133.33,11.111,19.802,26.183,111.11,166.67,0,0,2.79E-07,17.483,15.734,10.695,10.695,12.5,15.909,0.02979,0.16127,2.1368,8.547,14.287,31.171,66.239,132.48,16.667,11.438,33.578,54.167,125,9.8039,10.359,26.486,46.841,113.29,0.16769,8.31E-06,2.16E-06,0.00020192,2.37E-10,1.35E-10,0.1223,0.26285,0.69212,0.39459,0.90547,0.95301,0.33628,0.17829,0.02907,0.011202,2.11E-06,1,0.88338,0.71657,8.44E-05,0.054653,0.28395,-0.078077,0.24,1
0.001,1,22.797,6.1409,5.8812,1.9099,9.5718,2.7455,61.364,50.379,53.476,32.094,5.8802,9.5718,1,1,49.505,49.505,3,75.175,1.35E-09,0.40137,23.495,24.786,27.005,130,-124,428,-72,0.019783,0.60024,106.84,181.62,108.93,187.36,122.22,211.11,22.489,36.219,23.367,43.746,24.67,46.823,0.18824,0.013273,34.965,29.412,115.38,96.154,49.02,78.431,75,125,0.33338,1.09E-08,0.026669,-0.8844,-5.2065,-2.2181,0,1,1,-5.9083,222.22,222.22,55.556,55.556,4.2735,10.684,7.0806,27.778,6.9444,30.556,-2.8087,0.0024867,1,-1.7761,0.0094551,0.0001086,0.28009,0.0030498,0.47167,0.92335,0.19347,22.47,28.553,23.27,28.942,24.557,40.345,76.661,96.422,75.509,87.404,86.014,126.41,15.849,19.565,16.457,22.614,15.763,31.269,29.319,27.355,41.559,76.519,70.069,95.057,23.178,22.147,36.617,0.79481,0.87739,0.747,0.00021036,0.001231,0.0001688,9.11E-08,1,2.34E-10,3456,0,1,-124,-124,0.0034617,-103,-123,-25,-36,98,30,130,-36,1.5,7.5,1,8,1,9,1.11E-09,0.17018,8.30E-11,1.61E-12,0.80274,0.026546,0.0049735,31.353,177.78,0,27.503,44.554,111.11,188.89,0,33.333,3.44E-09,22.727,24.476,23.173,29.857,23.864,37.5,2.36E-05,0.2334,12.821,21.368,24.426,46.841,85.47,177.35,43.056,22.086,62.772,91.667,211.11,33.769,23.741,54.466,87.691,186.82,0.23848,1.37E-05,4.99E-08,8.10E-07,2.42E-11,1.93E-11,0.0059151,0.0018624,0.0083945,0.037856,0.069712,0.26731,0.6542,0.010126,3.83E-06,7.00E-05,9.62E-08,0.57115,0.34526,0.43989,5.24E-07,0.059595,0.26471,0.015556,0.25926,1
